"School"
"Муниципальное бюджетное общеобразовательное учреждение “Графовская средняя общеобразовательная школа Шебекинского муниципального округа Белгородской области” (309277, Белгородская область, м.о. Шебекинский, с. Графовка, ул. Центральная, д. 1А)"
"Муниципальное бюджетное общеобразовательное учреждение “Грузсчанская средняя общеобразовательная школа” (309361, Белгородская область, м.о. Борисовский, с. Грузское, ул. Центральная, дщ. 7)"
"Муниципальное бюджетное общеобразовательное учреждение “Грушевская основная общеобразовательная школа Волоконовского муниципального округа Белгородской области” (309674, Белгородская область, Волоконовский район, с. Грушевка, ул. Центральная, д. 44А)"
"Муниципальное бюджетное общеобразовательное учреждение “Дмитриевская основная общеобразовательная школа имени Героя Советского Союза И.Н. Озерова Шебекинского муниципального округа Белгородской области” (309262, Белгородская область, м.о. Шебекинский, с. Дмитриевка, ул. Победы, д. 38)"
"Муниципальное бюджетное общеобразовательное учреждение “Добросельская основная общеобразовательная школа” Грайворонского района Белгородской области (309385, Белгородская область, Грайворонский район, с. Доброе, ул. Грайворонская, зд. 18А)"
"Муниципальное бюджетное общеобразовательное учреждение “Дорогощанская средняя общеобразовательная школа” Грайворонского района Белгородской области (309390, Белгородская область, Грайворонский район, с. Дорогощь, пер. Первомайский, д. 1)"
"Муниципальное бюджетное общеобразовательное учреждение “Дунайская основная общеобразовательная школа им. А .Я. Волобуева” Грайворонского района Белгородской области (309391, Белгородская область, Грайворонский район, с. Дунайка, ул. Школьная, д. 19)"
"Муниципальное бюджетное общеобразовательное учреждение “Зимовская основная общеобразовательная школа Шебекинского муниципального округа Белгородской области” (309289, Белгородская область, м.о. Шебекинский, с. Зимовное, ул. Серпа и Молота, д. 59)"
"Муниципальное бюджетное общеобразовательное учреждение “Ивано-Лисичанская средняя общеобразовательная школа” Грайворонского района Белгородской области (309397, Белгородская область, Грайворонский район, с. Ивановская Лисица, ул. Комсомольская, д. 24)"
"Муниципальное бюджетное общеобразовательное учреждение “Козинская средняя общеобразовательная школа” Грайворонского района Белгородской области (309384, Белгородская область, Грайворонский район, с. Козинка, ул. Центральная, д. 18)"
"Муниципальное бюджетное общеобразовательное учреждение “Козьмодемьяновская основная общеобразовательная школа Шебекинского муниципального округа Белгородской области” (309272, Белгородская область, м.о. Шебекинский, с. Козьмодемьяновка, ул. Школьная, д. 13)"
"Муниципальное бюджетное общеобразовательное учреждение “Косиловская основная общеобразовательная школа” Грайворонского района Белгородской области (309396, Белгородская область, Грайворонский район, с. Косилово, ул. Горянка, д. 30)"
"Муниципальное бюджетное общеобразовательное учреждение “Кошлаковская основная общеобразовательная школа Шебекинского муниципального округа Белгородской области” (309252, Белгородская область, м.о. Шебекинский, с. Кошлаково, ул. Молодежная, д. 8Б)"
"Муниципальное бюджетное общеобразовательное учреждение “Крапивенская основная общеобразовательная школа Шебекинского муниципального округа Белгородской области” (309267, Белгородская область, м.о. Шебекинский, с. Крапивное, ул. Школьная, д. 25А)"
"Муниципальное бюджетное общеобразовательное учреждение “Красноалександровская основная общеобразовательная школа Шебекинского муниципального округа Белгородской области” (309258, Белгородская область, м.о. Шебекинский, с. Александровка, ул. Степная, д. 64)"
"Муниципальное бюджетное общеобразовательное учреждение “Краснополянская основная общеобразовательная школа Шебекинского муниципального округа Белгородской области” (309288, Белгородская область, м.о. Шебекинский, с. Красная Поляна, ул. Гагарина, д. 110А)"
"Муниципальное бюджетное общеобразовательное учреждение “Крюковская средняя общеобразовательная школа” (309369, Белгородская область, м.о. Борисовский, с. Крюково, ул. Ленина, д. 11)"
"Муниципальное бюджетное общеобразовательное учреждение “Купинская средняя общеобразовательная школа Шебекинского муниципального округа Белгородской области” (309263, Белгородская область, м.о. Шебекинский, с. Купино, пер. Анатовского, д. 5)"
"Муниципальное бюджетное общеобразовательное учреждение “Лицей № 10” г. Белгорода (308024, Белгородская область, г. Белгород, ул. Мокроусова, д. ЗА)"
"Муниципальное бюджетное общеобразовательное учреждение “Лицей № 32” г. Белгорода (308000, Белгородская область, г. Белгород, ул. Мичурина, д. 39)"
"Муниципальное бюджетное общеобразовательное учреждение “Максимовская средняя общеобразовательная школа Шебекинского муниципального округа Белгородской области” (309281, Белгородская область, м.о. Шебекинский, с. Максимовка, ул. Комсомольская, зд. 28)"
"Муниципальное бюджетное общеобразовательное учреждение “Маломихайловская основная общеобразовательная школа Шебекинского муниципального округа Белгородской области” (309270, Белгородская область, м.о. Шебекинский, с. Маломихайловка, ул. Королева, зд. 28А)"
"Муниципальное бюджетное общеобразовательное учреждение “Мандровская основная общеобразовательная школа” Валуйского района Белгородской области (309950, Белгородская область, Валуйский район, с. Мандрово, ул. Школьная, д. 1)"
"Муниципальное бюджетное общеобразовательное учреждение “Масловопристанская средняя общеобразовательная школа Шебекинского муниципального округа Белгородской области” (309276, Белгородская область, м.о. Шебекинский, п. Маслова Пристань, ул. Шумилова, д. 1)"
"Муниципальное бюджетное общеобразовательное учреждение “Мешковская средняя общеобразовательная школа Шебекинского муниципального округа Белгородской области” (309282, Белгородская область, м.о. Шебекинский, с. Мешковое, ул. Молодежная, д. 18)"
"Муниципальное бюджетное общеобразовательное учреждение “Мокро-Орловская средняя общеобразовательная школа” Грайворонского района Белгородской области (309392, Белгородская область, Грайворонский район, с. Мокрая Орловка, ул. Центральная, д. 45)"
"Муниципальное бюджетное общеобразовательное учреждение “Муромская средняя общеобразовательная школа Шебекинского муниципального округа Белгородской области” (309257, Белгородская область, м.о. Шебекинский, с. Муром, ул. Гагарина, д. 6)"
"Муниципальное бюджетное общеобразовательное учреждение “Никольская основная общеобразовательная школа Шебекинского муниципального округа Белгородской области” (309253, Белгородская область, м.о. Шебекинский, с. Никольское, ул. Советская, д. 86)"
"Муниципальное бюджетное общеобразовательное учреждение “Новоборисовская средняя общеобразовательная школа имени Сырового А.В.” (309365, Белгородская область, м.о. Борисовский, с. Беленькое, ул. Первомайская, зд. 66А)"
"Муниципальное бюджетное общеобразовательное учреждение “Новостроевская основная общеобразовательная школа” Грайворонского района Белгородской области (309380, Белгородская область, Грайворонский район, с. Новостроевка-Первая, ул. Первомайская, зд. 68, литера 1)"
"Муниципальное бюджетное общеобразовательное учреждение “Новотаволжанская средняя общеобразовательная школа имени Героя Советского Союза И.П. Серикова Шебекинского муниципального округа Белгородской области” (309255, Белгородская область, м.о. Шебекинский, с. Новая Таволжанка, ул. Харьковская, д. 22)"
"Муниципальное бюджетное общеобразовательное учреждение “Октябрьскоготнянская средняя общеобразовательная школа” (309357, Белгородская область, м.о. Борисовский, с. Октябрьская Готня, ул. Совхозная, д. ЗБ)"
"Муниципальное бюджетное общеобразовательное учреждение “Основная общеобразовательная школа № 34” г. Белгорода (308019, Белгородская область, г. Белгород, ул. 8 Марта, д. 172)"
"Муниципальное бюджетное общеобразовательное учреждение “Первоцепляевская средняя общеобразовательная школа Шебекинского муниципального округа Белгородской области” (309274, Белгородская область, м.о. Шебекинский, с. Первое Цепляево, ул. Ленина, д. 22В)"
"Муниципальное бюджетное общеобразовательное учреждение “Погромская средняя общеобразовательная школа им. А.Д. Бондаренко Волоконовского муниципального округа Белгородской области” (309666, Белгородская область, Волоконовский район, с. Погромец, ул. Школьная, д. 10"
"Муниципальное бюджетное общеобразовательное учреждение “Покровская средняя общеобразовательная школа имени Героя Советского Союза Ветчинкина К.Ф. Волоконовского муниципального округа Белгородской области” (309661, Белгородская область, Волоконовский район, с. Покровка, ул. Центральная, д. 52)"
"Муниципальное бюджетное общеобразовательное учреждение “Поповская средняя общеобразовательная школа Шебекинского муниципального округа Белгородской области” (309283, Белгородская область, м.о. Шебекинский, с. Поповка, ул. Центральная, д. 201)"
"Муниципальное бюджетное общеобразовательное учреждение “Почаевская средняя общеобразовательная школа” Грайворонского района Белгородской области (309395, Белгородская область, Грайворонский район, с. Почаево, ул. Кирова, зд. 1)"
"Муниципальное бюджетное общеобразовательное учреждение “Репьевская основная общеобразовательная школа имени Героя Советского Союза полковника Винокурова Ф.И. Волоконовского муниципального округа Белгородской области” (309663, Белгородская область, Волоконовский район, с. Репьевка, ул. Школьная, д. 15)"
"Муниципальное бюджетное общеобразовательное учреждение “Ржевская средняя общеобразовательная школа Шебекинского муниципального округа Белгородской области” (309261, Белгородская область, м.о. Шебекинский, с. Ржевка, ул. Пионерская, зд. 49)"
"Муниципальное бюджетное общеобразовательное учреждение “Смородинская средняя общеобразовательная школа” Грайворонского района Белгородской области (309394, Белгородская область, Грайворонский район, с. Смородино, ул. Выгон, зд. 62)"
"Муниципальное бюджетное общеобразовательное учреждение “Средняя общеобразовательная школа с углубленным изучением отдельных предметов” города Грайворона Грайворонского района Белгородской области (309370, Белгородская область, Грайворонский район, г. Грайворон, ул. Максима Горького, д. 2)"
"Муниципальное бюджетное общеобразовательное учреждение “Средняя общеобразовательная школа им. В.Г. Шухова” города Грайворона Грайворонского района Белгородской области (309370, Белгородская область, Грайворонский район, г. Грайворон, ул. Мира, д. 61 А)"
"Муниципальное бюджетное общеобразовательное учреждение “Средняя общеобразовательная школа № 2 г. Шебекино Белгородской области” (309290, Белгородская область, г. Шебекино, ул. Садовая, д. 7)"
"Муниципальное бюджетное общеобразовательное учреждение “Средняя общеобразовательная школа № 3 г. Шебекино Белгородской области” (309291, Белгородская область, г. Шебекино, ул. Октябрьская, д. 3)"
"Муниципальное бюджетное общеобразовательное учреждение “Средняя общеобразовательная школа № 4” г. Белгорода (308000, Белгородская область, г. Белгород, ул. Победы, д. 78)"
"Муниципальное бюджетное общеобразовательное учреждение “Средняя общеобразовательная школа № 4 г. Шебекино Белгородской области” (309290, Белгородская область, г. Шебекино, ул. Ленина, д. 19)"
"Муниципальное бюджетное общеобразовательное учреждение “Средняя общеобразовательная школа № 5 с углубленным изучением отдельных предметов г. Шебекино Белгородской области” (309290, Белгородская область, г. Шебекино, ул. Дзержинского, д. 18)"
"Муниципальное бюджетное общеобразовательное учреждение “Средняя общеобразовательная школа № 6 города Шебекино Белгородской области” (309295, Белгородская область, г. Шебекино, ул. Ржевское шоссе, д. 233)"
"Муниципальное бюджетное общеобразовательное учреждение “Средняя общеобразовательная школа № 7” г. Белгорода (308023, Белгородская область, г. Белгород, ул. Железнякова, д. 4)"
"Муниципальное бюджетное общеобразовательное учреждение “Средняя общеобразовательная школа № 11” г. Белгорода (308013, Белгородская область, г. Белгород, пер. Макаренко, д. 3)"
"Муниципальное бюджетное общеобразовательное учреждение “Средняя общеобразовательная школа № 13” г. Белгорода (308019, Белгородская область, г. Белгород, ул. Горького, д. 26А)"
"Муниципальное бюджетное общеобразовательное учреждение “Средняя общеобразовательная школа № 14” г. Белгорода (308001, Белгородская область, г. Белгород, пр-кт Белгородский, д. 67)"
"Муниципальное бюджетное общеобразовательное учреждение “Средняя общеобразовательная школа № 16” г. Белгорода (308001, Белгородская область, г. Белгород, ул. Октябрьская, д. 26 А)"
"Муниципальное бюджетное общеобразовательное учреждение “Средняя общеобразовательная школа № 17” г. Белгорода (308010, Белгородская область, г. Белгород, ул. Крупской, д. 9)"
"Муниципальное бюджетное общеобразовательное учреждение “Средняя общеобразовательная школа № 18” г. Белгорода (308017, Белгородская область, г. Белгород, ул. Репина, д. 3А)"
"Муниципальное бюджетное общеобразовательное учреждение “Средняя общеобразовательная школа № 19” г. Белгорода им. В. Казанцева (308000, Белгородская область, г. Белгород, ул. Преображенская, д. 98)"
"Муниципальное бюджетное общеобразовательное учреждение “Средняя общеобразовательная школа № 20” г. Белгорода (308007, Белгородская область, г. Белгород, ул. Шершнева, д. 26)"
"Муниципальное бюджетное общеобразовательное учреждение “Средняя общеобразовательная школа № 21” г. Белгорода (308015, Белгородская область, г. Белгород, ул. Чапаева, д. 14)"
"Муниципальное бюджетное общеобразовательное учреждение “Средняя общеобразовательная школа № 24” г. Белгорода им. Героя Советского Союза Ивана Петровича Крамчанинова (308018, Белгородская область, г. Белгород, ул. Корочанская, д. 318)"
"Муниципальное бюджетное общеобразовательное учреждение “Средняя общеобразовательная школа № 27” г. Белгорода (308000, Белгородская область, г. Белгород, ул. Некрасова, д. 20)"
"Муниципальное бюджетное общеобразовательное учреждение “Средняя общеобразовательная школа № 28” г. Белгорода (308000, Белгородская область, г. Белгород, ул. Щорса, д. 11)"
"Муниципальное бюджетное общеобразовательное учреждение “Средняя общеобразовательная школа № 29” г. Белгорода им. Д.Б. Мурачева (308000, Белгородская область, г. Белгород, ул. Некрасова, д. 38А)"
"Муниципальное бюджетное общеобразовательное учреждение “Средняя общеобразовательная школа № 31” г. Белгорода (308000, Белгородская область, г. Белгород, ул. Костюкова, д. 20)"
"Муниципальное бюджетное общеобразовательное учреждение “Средняя общеобразовательная школа № 33” г. Белгорода (308025, Белгородская область, г. Белгород, ул. Сумская, д. 378)"
"Муниципальное бюджетное общеобразовательное учреждение “Средняя общеобразовательная школа № 35” г. Белгорода (308001, Белгородская область, г. Белгород, ул. Преображенская, д. 14)"
"Муниципальное бюджетное общеобразовательное учреждение “Средняя общеобразовательная школа № 36” г. Белгорода (308012, Белгородская область, г. Белгород, б-р 1 Салюта, д. 6)"
"Муниципальное бюджетное общеобразовательное учреждение “Средняя общеобразовательная школа № 37” г. Белгорода (308032, Белгородская область, г. Белгород, ул. Привольная, д. 16)"
"Муниципальное бюджетное общеобразовательное учреждение “Средняя общеобразовательная школа № 39” г. Белгорода (308000, Белгородская область, г. Белгород, ул. Королева, д. 22)"
"Муниципальное бюджетное общеобразовательное учреждение “Средняя общеобразовательная школа № 40” г. Белгорода имени Героя Советского Союза Вальдемара Сергеевича Шаландина (308033, Белгородская область, г. Белгород, ул. Шаландина, д. 5)"
"Муниципальное бюджетное общеобразовательное учреждение “Средняя общеобразовательная школа № 41” г. Белгорода (308036, Белгородская область, г. Белгород, б-р Юности, д. 4)"
"Муниципальное бюджетное общеобразовательное учреждение “Средняя общеобразовательная школа № 42” г. Белгорода (308036, Белгородская область, г. Белгород, ул. 60 лет Октября, д. 7)"
"Муниципальное бюджетное общеобразовательное учреждение “Средняя общеобразовательная школа № 43” г. Белгорода (308036, Белгородская область, г. Белгород, ул. 60 лет Октября, д. 4)"
"Муниципальное бюджетное общеобразовательное учреждение “Средняя общеобразовательная школа № 45” г. Белгорода (308000, Белгородская область, г. Белгород, пр-кт Славы, д. 69)"
"Муниципальное бюджетное общеобразовательное учреждение “Средняя общеобразовательная школа № 46” г. Белгорода (308036, Белгородская область, г. о. город Белгород, г. Белгород, ул. Спортивная, д. 6А)"
"Муниципальное бюджетное общеобразовательное учреждение “Средняя общеобразовательная школа № 47” г. Белгорода (308027, Белгородская область, г. Белгород, ул. Дегтярева, д. 1)"
"Муниципальное бюджетное общеобразовательное учреждение “Средняя общеобразовательная школа № 48” г. Белгорода (308001, Белгородская область, г. Белгород, ул. Октябрьская, д. 59А)"
"Муниципальное бюджетное общеобразовательное учреждение “Средняя общеобразовательная школа № 49 с углубленным изучением отдельных предметов” г. Белгорода (308036, Белгородская область, г. Белгород, ул. Конева, д. 11)"
"Муниципальное бюджетное общеобразовательное учреждение “Средняя общеобразовательная школа № 50” г. Белгорода (308031, Белгородская область, г. Белгород, ул. Есенина, д. 52Б)"
"Муниципальное бюджетное общеобразовательное учреждение “Стариковская основная общеобразовательная школа Шебекинского муниципального округа Белгородской области” (309264, Белгородская область, м.о. Шебекинский, с. Стариково, ул. Советская, д. 19)"
"Муниципальное бюджетное общеобразовательное учреждение “Староивановская средняя общеобразовательная школа имени Н.И. Коткова Волоконовского муниципального округа Белгородской области” (309677, Белгородская область, Волоконовский район, с. Староивановка, ул. Комсомольская, д. 2)"
