Id конкурса;Обр. программы;Комментарий к конкурсу;Код НПС/УГСН;НПС/УГСН
22557;8244 - Социологические исследования в цифровом обществе (с дополнительной квалификацией «Социолог: специалист по фундаментальным и прикладным социологическим исследованиям»);26\5345\1 ГБ очн Социологические исследования в цифровом обществе, ОтК;5.39.03.01;соцфак
22558;8201 - Науки о данных (с дополнительной квалификацией «Специалист по большим данным»);26\5341\1 ДОГ очн Науки о данных, ДОГ;1.02.03.01;НОД
22559;8253 - Международные отношения (с дополнительной квалификацией «Специалист в области перевода»);26\5342\1 ИН ДОГ очн Международные отношения, ДОГ;5.41.03.05;мо
22560;8245 - Социология (с дополнительной квалификацией «Социолог: специалист по фундаментальным и прикладным социологическим исследованиям»);26\5344\1 ИН ДОГ очн Социология, ДОГ;5.39.03.01;соцфак
22561;8201 - Науки о данных (с дополнительной квалификацией «Специалист по большим данным»);26\5341\1 ГБ очн Науки о данных, Б;1.02.03.01;НОД
22562;8245 - Социология (с дополнительной квалификацией «Социолог: специалист по фундаментальным и прикладным социологическим исследованиям»);26\5344\1 ГБ очн Социология, ОтК;5.39.03.01;соцфак
22563;8201 - Науки о данных (с дополнительной квалификацией «Специалист по большим данным»);26\5341\1 ГБ очн Науки о данных, ОсК;1.02.03.01;НОД
22564;8245 - Социология (с дополнительной квалификацией «Социолог: специалист по фундаментальным и прикладным социологическим исследованиям»);26\5344\1 ГБ очн Социология, ОсК;5.39.03.01;соцфак
22565;8244 - Социологические исследования в цифровом обществе (с дополнительной квалификацией «Социолог: специалист по фундаментальным и прикладным социологическим исследованиям»);26\5345\1 ГБ очн Социологические исследования в цифровом обществе, Б;5.39.03.01;соцфак
22566;8288 - Искусства и гуманитарные науки (с дополнительной квалификацией «Педагог дополнительного образования»);26\5343\1 ДОГ очн Искусства и гуманитарные науки, ДОГ;8.50.03.01;фи
22567;8288 - Искусства и гуманитарные науки (с дополнительной квалификацией «Педагог дополнительного образования»);26\5343\1 ГБ очн Искусства и гуманитарные науки, ОтК;8.50.03.01;фи
22568;8253 - Международные отношения (с дополнительной квалификацией «Специалист в области перевода»);26\5342\1 ГБ очн Международные отношения, ОтК;5.41.03.05;мо
22569;8243 - Прикладная социология;26\5346\1 ГБ очн Прикладная социология, ОсК;5.39.03.01;соцфак
22570;8243 - Прикладная социология;26\5346\1 ГБ очн Прикладная социология, ОтК;5.39.03.01;соцфак
22571;8246 - Социальная работа (с дополнительной квалификацией «Специалист по работе с семьей»);26\5347\1 ГБ очн Социальная работа, ОтК;5.39.03.02;соцфак
22572;8206 - Прикладные физика и математика (с дополнительной квалификацией «Программист»);26\5348\1 ГБ очн Прикладные физика и математика, ОтК;1.03.03.01;физфак
22573;8246 - Социальная работа (с дополнительной квалификацией «Специалист по работе с семьей»);26\5347\1 ДОГ очн Социальная работа, ДОГ;5.39.03.02;соцфак
22574;8246 - Социальная работа (с дополнительной квалификацией «Специалист по работе с семьей»);26\5347\1 ГБ очн Социальная работа, Б;5.39.03.02;соцфак
22575;8206 - Прикладные физика и математика (с дополнительной квалификацией «Программист»);26\5348\1 ГБ очн Прикладные физика и математика, Б;1.03.03.01;физфак
22576;8246 - Социальная работа (с дополнительной квалификацией «Специалист по работе с семьей»);26\5347\1 ГБ очн Социальная работа, ОсК;5.39.03.02;соцфак
22577;8243 - Прикладная социология;26\5346\1 ДОГ очн Прикладная социология, ДОГ;5.39.03.01;соцфак
22578;8243 - Прикладная социология;26\5346\1 ИН ДОГ очн Прикладная социология, ДОГ;5.39.03.01;соцфак
22579;8243 - Прикладная социология;26\5346\1 ГБ очн Прикладная социология, Б;5.39.03.01;соцфак
22580;8206 - Прикладные физика и математика (с дополнительной квалификацией «Программист»);26\5348\1 ГБ очн Прикладные физика и математика, ОсК;1.03.03.01;физфак
22581;8207 - Физика (с дополнительной квалификацией «Программист»);26\5350\1 ГБ очн Физика, ОтК;1.03.03.02;физфак
22582;8206 - Прикладные физика и математика (с дополнительной квалификацией «Программист»);26\5348\1 ДОГ очн Прикладные физика и математика, ДОГ;1.03.03.01;физфак
22583;8206 - Прикладные физика и математика (с дополнительной квалификацией «Программист»);26\5348\1 ИН ДОГ очн Прикладные физика и математика, ДОГ;1.03.03.01;физфак
22584;8221 - Прикладная информатика в области искусств и гуманитарных наук (с дополнительной квалификацией «Специалист по информационным системам»);26\5335\1 ГБ очн Прикладная информатика в области искусств и гуманитарных наук, ОтК;2.09.03.03;фи
22585;8224 - Кадастр недвижимости: оценка и информационное обеспечение (с дополнительной квалификацией «Специалист в области инженерно-геодезических изысканий для градостроительной деятельности»);26\5352\1 ДОГ очн Кадастр недвижимости: оценка и информационное обеспечение, ДОГ;2.21.03.02;иноз
22586;8224 - Кадастр недвижимости: оценка и информационное обеспечение (с дополнительной квалификацией «Специалист в области инженерно-геодезических изысканий для градостроительной деятельности»);26\5352\1 ИН ДОГ очн Кадастр недвижимости: оценка и информационное обеспечение, ДОГ;2.21.03.02;иноз
22587;8240 - Управление персоналом (с дополнительной квалификацией «Консультант в области управления персоналом»);26\5351\1 ГБ очн Управление персоналом, ОсК;5.38.03.03;экфак
22588;8207 - Физика (с дополнительной квалификацией «Программист»);26\5350\1 ГБ очн Физика, ОсК;1.03.03.02;физфак
22589;8207 - Физика (с дополнительной квалификацией «Программист»);26\5350\1 ГБ очн Физика, Б;1.03.03.02;физфак
22590;8224 - Кадастр недвижимости: оценка и информационное обеспечение (с дополнительной квалификацией «Специалист в области инженерно-геодезических изысканий для градостроительной деятельности»);26\5352\1 ГБ очн Кадастр недвижимости: оценка и информационное обеспечение, ОтК;2.21.03.02;иноз
22591;8240 - Управление персоналом (с дополнительной квалификацией «Консультант в области управления персоналом»);26\5351\1 ДОГ очн Управление персоналом, ДОГ;5.38.03.03;экфак
22592;8224 - Кадастр недвижимости: оценка и информационное обеспечение (с дополнительной квалификацией «Специалист в области инженерно-геодезических изысканий для градостроительной деятельности»);26\5352\1 ГБ очн Кадастр недвижимости: оценка и информационное обеспечение, ОсК;2.21.03.02;иноз
22593;8240 - Управление персоналом (с дополнительной квалификацией «Консультант в области управления персоналом»);26\5351\1 ИН ДОГ очн Управление персоналом, ДОГ;5.38.03.03;экфак
22594;8240 - Управление персоналом (с дополнительной квалификацией «Консультант в области управления персоналом»);26\5351\1 ГБ очн Управление персоналом, ОтК;5.38.03.03;экфак
22595;8223 - Нефтегазовая геология;26\5353\1 ГБ очн Нефтегазовая геология, ОтК;2.21.03.01;иноз
22596;8207 - Физика (с дополнительной квалификацией «Программист»);26\5350\1 ДОГ очн Физика, ДОГ;1.03.03.02;физфак
22597;8240 - Управление персоналом (с дополнительной квалификацией «Консультант в области управления персоналом»);26\5351\1 ГБ очн Управление персоналом, Б;5.38.03.03;экфак
22598;8223 - Нефтегазовая геология;26\5353\1 ГБ очн Нефтегазовая геология, ОсК;2.21.03.01;иноз
22599;8223 - Нефтегазовая геология;26\5353\1 ГБ очн Нефтегазовая геология, Б;2.21.03.01;иноз
22600;8224 - Кадастр недвижимости: оценка и информационное обеспечение (с дополнительной квалификацией «Специалист в области инженерно-геодезических изысканий для градостроительной деятельности»);26\5352\1 ГБ очн Кадастр недвижимости: оценка и информационное обеспечение, Б;2.21.03.02;иноз
22601;8223 - Нефтегазовая геология;26\5353\1 ИН ДОГ очн Нефтегазовая геология, ДОГ;2.21.03.01;иноз
22602;8249 - Юриспруденция (с углубленным изучением налогового права);26\5355\1 ДОГ очн Юриспруденция (с углубленным изучением налогового права), ДОГ;5.40.03.01;юрфак
22603;8287 - Физическая реабилитация;26\5354\1 ГБ очн Физическая реабилитация, Б;7.49.03.02;фк
22604;8261 - Испанский язык, литература и перевод (с дополнительными квалификациями «Учитель испанского языка и литературы» / «Специалист в области перевода»);26\5361\1 ИН ДОГ очн Испанский язык, литература и перевод, ДОГ;7.45.03.01;филфак
22605;8249 - Юриспруденция (с углубленным изучением налогового права);26\5355\1 ГБ очн Юриспруденция (с углубленным изучением налогового права), Б;5.40.03.01;юрфак
22606;8261 - Испанский язык, литература и перевод (с дополнительными квалификациями «Учитель испанского языка и литературы» / «Специалист в области перевода»);26\5361\1 ГБ очн Испанский язык, литература и перевод, Б;7.45.03.01;филфак
22607;8261 - Испанский язык, литература и перевод (с дополнительными квалификациями «Учитель испанского языка и литературы» / «Специалист в области перевода»);26\5361\1 ДОГ очн Испанский язык, литература и перевод, ДОГ;7.45.03.01;филфак
22608;8287 - Физическая реабилитация;26\5354\1 ГБ очн Физическая реабилитация, ОтК;7.49.03.02;фк
22609;8199 - AI360: Математика машинного обучения;26\5356\1 ГБ очн AI360: Математика машинного обучения, ОсК;1.02.03.01;AI360
22610;8199 - AI360: Математика машинного обучения;26\5356\1 ГБ очн AI360: Математика машинного обучения, Б;1.02.03.01;AI360
22611;8287 - Физическая реабилитация;26\5354\1 ГБ очн Физическая реабилитация, ОсК;7.49.03.02;фк
22612;8297 - Декоративно-прикладное искусство (с дополнительной квалификацией «Педагог дополнительного образования»);26\5334\1 ГБ очн Декоративно-прикладное искусство, ОтК;8.54.03.02;фи
22613;8199 - AI360: Математика машинного обучения;26\5356\1 ГБ очн AI360: Математика машинного обучения, ОтК;1.02.03.01;AI360
22614;8262 - Итальянский язык, литература и перевод (с дополнительными квалификациями «Учитель иностранного языка и литературы» / «Специалист в области перевода»);26\5362\1 ИН ДОГ очн Итальянский язык, литература и перевод, ДОГ;7.45.03.01;филфак
22615;8267 - Языки и литературы Северной Европы (датский и нидерландский языки) (с дополнительными квалификациями «Учитель иностранного языка и литературы» / «Специалист в области перевода»);26\5363\1 ГБ очн Языки и литературы Северной Европы (датский и нидерландский языки), ОсК;7.45.03.01;филфак
22616;8267 - Языки и литературы Северной Европы (датский и нидерландский языки) (с дополнительными квалификациями «Учитель иностранного языка и литературы» / «Специалист в области перевода»);26\5363\1 ГБ очн Языки и литературы Северной Европы (датский и нидерландский языки), ОтК;7.45.03.01;филфак
22617;8260 - Венгерский и немецкий языки в австро-венгерском культурном пространстве (с дополнительными квалификациями «Учитель немецкого языка» / «Специалист в области перевода»);26\5364\1 ДОГ очн Венгерский и немецкий языки в австро-венгерском культурном пространстве, ДОГ;7.45.03.01;филфак
22618;8262 - Итальянский язык, литература и перевод (с дополнительными квалификациями «Учитель иностранного языка и литературы» / «Специалист в области перевода»);26\5362\1 ДОГ очн Итальянский язык, литература и перевод, ДОГ;7.45.03.01;филфак
22619;8260 - Венгерский и немецкий языки в австро-венгерском культурном пространстве (с дополнительными квалификациями «Учитель немецкого языка» / «Специалист в области перевода»);26\5364\1 ГБ очн Венгерский и немецкий языки в австро-венгерском культурном пространстве, Б;7.45.03.01;филфак
22620;8262 - Итальянский язык, литература и перевод (с дополнительными квалификациями «Учитель иностранного языка и литературы» / «Специалист в области перевода»);26\5362\1 ГБ очн Итальянский язык, литература и перевод, Б;7.45.03.01;филфак
22621;8267 - Языки и литературы Северной Европы (датский и нидерландский языки) (с дополнительными квалификациями «Учитель иностранного языка и литературы» / «Специалист в области перевода»);26\5363\1 ДОГ очн Языки и литературы Северной Европы (датский и нидерландский языки), ДОГ;7.45.03.01;филфак
22622;8267 - Языки и литературы Северной Европы (датский и нидерландский языки) (с дополнительными квалификациями «Учитель иностранного языка и литературы» / «Специалист в области перевода»);26\5363\1 ГБ очн Языки и литературы Северной Европы (датский и нидерландский языки), Б;7.45.03.01;филфак
22623;8260 - Венгерский и немецкий языки в австро-венгерском культурном пространстве (с дополнительными квалификациями «Учитель немецкого языка» / «Специалист в области перевода»);26\5364\1 ГБ очн Венгерский и немецкий языки в австро-венгерском культурном пространстве, ОсК;7.45.03.01;филфак
22625;8267 - Языки и литературы Северной Европы (датский и нидерландский языки) (с дополнительными квалификациями «Учитель иностранного языка и литературы» / «Специалист в области перевода»);26\5363\1 ИН ДОГ очн Языки и литературы Северной Европы (датский и нидерландский языки), ДОГ;7.45.03.01;филфак
22626;8260 - Венгерский и немецкий языки в австро-венгерском культурном пространстве (с дополнительными квалификациями «Учитель немецкого языка» / «Специалист в области перевода»);26\5364\1 ГБ очн Венгерский и немецкий языки в австро-венгерском культурном пространстве, ОтК;7.45.03.01;филфак
22627;8198 - Фундаментальная математика (с дополнительными квалификациями «Педагог дополнительного образования» / «Учитель математики»);26\5365\1 ГБ очн Фундаментальная математика, ОтК;1.01.05.01;мм
22628;8198 - Фундаментальная математика (с дополнительными квалификациями «Педагог дополнительного образования» / «Учитель математики»);26\5365\1 ГБ очн Фундаментальная математика, Б;1.01.05.01;мм
22629;8198 - Фундаментальная математика (с дополнительными квалификациями «Педагог дополнительного образования» / «Учитель математики»);26\5365\1 ГБ очн Фундаментальная математика, ОсК;1.01.05.01;мм
22630;8198 - Фундаментальная математика (с дополнительными квалификациями «Педагог дополнительного образования» / «Учитель математики»);26\5365\1 ДОГ очн Фундаментальная математика, ДОГ;1.01.05.01;мм
22631;8198 - Фундаментальная математика (с дополнительными квалификациями «Педагог дополнительного образования» / «Учитель математики»);26\5365\1 ИН ДОГ очн Фундаментальная математика, ДОГ;1.01.05.01;мм
22633;8285 - Христианская теология (с дополнительными квалификациями «Учитель духовно-нравственной культуры России» / «Учитель истории и обществознания»);26\5372\1 ГБ очн Христианская теология, ОсК;7.48.03.01;тео
22636;8257 - Организация туристской деятельности с лингвострановедческим профилем (с дополнительными квалификациями «Руководитель гостиничного комплекса и иных средств размещения»/ «Экскурсовод (гид)»);26\5374\1 ГБ очн Организация туристской деятельности с лингвострановедческим профилем, ОтК;5.43.03.02;иноз
22637;8257 - Организация туристской деятельности с лингвострановедческим профилем (с дополнительными квалификациями «Руководитель гостиничного комплекса и иных средств размещения»/ «Экскурсовод (гид)»);26\5374\1 ГБ очн Организация туристской деятельности с лингвострановедческим профилем, Б;5.43.03.02;иноз
22638;8284 - Иудейская теология (с дополнительными квалификациями «Педагог дополнительного образования» / «Учитель духовно-нравственной культуры России» / «Учитель истории и обществознания»);26\5371\1 ГБ очн Иудейская теология, ОтК;7.48.03.01;тео
22639;8209 - Фундаментальная и прикладная физика;26\5370\1 ГБ очн Фундаментальная и прикладная физика, ОсК;1.03.05.02;физфак
22640;8257 - Организация туристской деятельности с лингвострановедческим профилем (с дополнительными квалификациями «Руководитель гостиничного комплекса и иных средств размещения»/ «Экскурсовод (гид)»);26\5374\1 ДОГ очн Организация туристской деятельности с лингвострановедческим профилем, ДОГ;5.43.03.02;иноз
22641;8284 - Иудейская теология (с дополнительными квалификациями «Педагог дополнительного образования» / «Учитель духовно-нравственной культуры России» / «Учитель истории и обществознания»);26\5371\1 ГБ очн Иудейская теология, Б;7.48.03.01;тео
22642;8284 - Иудейская теология (с дополнительными квалификациями «Педагог дополнительного образования» / «Учитель духовно-нравственной культуры России» / «Учитель истории и обществознания»);26\5371\1 ГБ очн Иудейская теология, ОсК;7.48.03.01;тео
22643;8300 - Художник кино и телевидения (с дополнительными квалификациями «Учитель рисования» / «Педагог дополнительного образования»);26\5367\1 ГБ очн Художник кино и телевидения, Б;8.54.05.02;фи
22644;8283 - Религиоведение (с дополнительными квалификациями «Учитель обществознания» / «Учитель основ религиозных культур и светской этики» / «Педагог дополнительного образования» / «Экскурсовод (гид)»);26\5373\1 ДОГ очн Религиоведение, ДОГ;7.47.03.03;тео
22645;8246 - Социальная работа (с дополнительной квалификацией «Специалист по работе с семьей»);26\5347\1 ИН ДОГ очн Социальная работа, ДОГ;5.39.03.02;соцфак
22646;8209 - Фундаментальная и прикладная физика;26\5370\1 ИН ДОГ очн Фундаментальная и прикладная физика, ДОГ;1.03.05.02;физфак
22647;8197 - Механика и математическое моделирование (с дополнительной квалификацией «Специалист по научно-техническим разработкам»);26\5366\1 ГБ очн Механика и математическое моделирование, ОсК;1.01.05.01;мм
22649;8283 - Религиоведение (с дополнительными квалификациями «Учитель обществознания» / «Учитель основ религиозных культур и светской этики» / «Педагог дополнительного образования» / «Экскурсовод (гид)»);26\5373\1 ИН ДОГ очн Религиоведение, ДОГ;7.47.03.03;тео
22651;8209 - Фундаментальная и прикладная физика;26\5370\1 ДОГ очн Фундаментальная и прикладная физика, ДОГ;1.03.05.02;физфак
22653;8207 - Физика (с дополнительной квалификацией «Программист»);26\5350\1 ИН ДОГ очн Физика, ДОГ;1.03.03.02;физфак
22654;8257 - Организация туристской деятельности с лингвострановедческим профилем (с дополнительными квалификациями «Руководитель гостиничного комплекса и иных средств размещения»/ «Экскурсовод (гид)»);26\5374\1 ИН ДОГ очн Организация туристской деятельности с лингвострановедческим профилем, ДОГ;5.43.03.02;иноз
22655;8283 - Религиоведение (с дополнительными квалификациями «Учитель обществознания» / «Учитель основ религиозных культур и светской этики» / «Педагог дополнительного образования» / «Экскурсовод (гид)»);26\5373\1 ГБ очн Религиоведение, ОсК;7.47.03.03;тео
22656;8209 - Фундаментальная и прикладная физика;26\5370\1 ГБ очн Фундаментальная и прикладная физика, Б;1.03.05.02;физфак
22657;8223 - Нефтегазовая геология;26\5353\1 ДОГ очн Нефтегазовая геология, ДОГ;2.21.03.01;иноз
22658;8284 - Иудейская теология (с дополнительными квалификациями «Педагог дополнительного образования» / «Учитель духовно-нравственной культуры России» / «Учитель истории и обществознания»);26\5371\1 ДОГ очн Иудейская теология, ДОГ;7.48.03.01;тео
22659;8209 - Фундаментальная и прикладная физика;26\5370\1 ГБ очн Фундаментальная и прикладная физика, ОтК;1.03.05.02;физфак
22660;8300 - Художник кино и телевидения (с дополнительными квалификациями «Учитель рисования» / «Педагог дополнительного образования»);26\5367\1 ГБ очн Художник кино и телевидения, ОсК;8.54.05.02;фи
22662;8197 - Механика и математическое моделирование (с дополнительной квалификацией «Специалист по научно-техническим разработкам»);26\5366\1 ДОГ очн Механика и математическое моделирование, ДОГ;1.01.05.01;мм
22663;8278 - Перевод и переводоведение (английский язык и языки Южной Европы);26\5368\1 ДОГ очн Перевод и переводоведение (английский язык и языки Южной Европы), ДОГ;7.45.05.01;филфак
22665;8278 - Перевод и переводоведение (английский язык и языки Южной Европы);26\5368\1 ГБ очн Перевод и переводоведение (английский язык и языки Южной Европы), ОтК;7.45.05.01;филфак
22666;8283 - Религиоведение (с дополнительными квалификациями «Учитель обществознания» / «Учитель основ религиозных культур и светской этики» / «Педагог дополнительного образования» / «Экскурсовод (гид)»);26\5373\1 ГБ очн Религиоведение, ОтК;7.47.03.03;тео
22667;8197 - Механика и математическое моделирование (с дополнительной квалификацией «Специалист по научно-техническим разработкам»);26\5366\1 ГБ очн Механика и математическое моделирование, Б;1.01.05.01;мм
22668;8197 - Механика и математическое моделирование (с дополнительной квалификацией «Специалист по научно-техническим разработкам»);26\5366\1 ГБ очн Механика и математическое моделирование, ОтК;1.01.05.01;мм
22669;8278 - Перевод и переводоведение (английский язык и языки Южной Европы);26\5368\1 ГБ очн Перевод и переводоведение (английский язык и языки Южной Европы), ОсК;7.45.05.01;филфак
22670;8278 - Перевод и переводоведение (английский язык и языки Южной Европы);26\5368\1 ГБ очн Перевод и переводоведение (английский язык и языки Южной Европы), Б;7.45.05.01;филфак
22671;8284 - Иудейская теология (с дополнительными квалификациями «Педагог дополнительного образования» / «Учитель духовно-нравственной культуры России» / «Учитель истории и обществознания»);26\5371\1 ИН ДОГ очн Иудейская теология, ДОГ;7.48.03.01;тео
22673;8197 - Механика и математическое моделирование (с дополнительной квалификацией «Специалист по научно-техническим разработкам»);26\5366\1 ИН ДОГ очн Механика и математическое моделирование, ДОГ;1.01.05.01;мм
22674;8300 - Художник кино и телевидения (с дополнительными квалификациями «Учитель рисования» / «Педагог дополнительного образования»);26\5367\1 ДОГ очн Художник кино и телевидения, ДОГ;8.54.05.02;фи
22675;8285 - Христианская теология (с дополнительными квалификациями «Учитель духовно-нравственной культуры России» / «Учитель истории и обществознания»);26\5372\1 ДОГ очн Христианская теология, ДОГ;7.48.03.01;тео
22676;8257 - Организация туристской деятельности с лингвострановедческим профилем (с дополнительными квалификациями «Руководитель гостиничного комплекса и иных средств размещения»/ «Экскурсовод (гид)»);26\5374\1 ГБ очн Организация туристской деятельности с лингвострановедческим профилем, ОсК;5.43.03.02;иноз
22677;8285 - Христианская теология (с дополнительными квалификациями «Учитель духовно-нравственной культуры России» / «Учитель истории и обществознания»);26\5372\1 ИН ДОГ очн Христианская теология, ДОГ;7.48.03.01;тео
22679;8285 - Христианская теология (с дополнительными квалификациями «Учитель духовно-нравственной культуры России» / «Учитель истории и обществознания»);26\5372\1 ГБ очн Христианская теология, ОтК;7.48.03.01;тео
22680;8300 - Художник кино и телевидения (с дополнительными квалификациями «Учитель рисования» / «Педагог дополнительного образования»);26\5367\1 ГБ очн Художник кино и телевидения, ОтК;8.54.05.02;фи
22681;8285 - Христианская теология (с дополнительными квалификациями «Учитель духовно-нравственной культуры России» / «Учитель истории и обществознания»);26\5372\1 ГБ очн Христианская теология, Б;7.48.03.01;тео
22682;8283 - Религиоведение (с дополнительными квалификациями «Учитель обществознания» / «Учитель основ религиозных культур и светской этики» / «Педагог дополнительного образования» / «Экскурсовод (гид)»);26\5373\1 ГБ очн Религиоведение, Б;7.47.03.03;тео
23214;8234 - Международный бизнес в цифровой экономике;26\7800\1 Таш ИН ДОГ-УзБ очн Международный бизнес в цифровой экономике, ДОГ;5.38.03.01;экфак
23216;8234 - Международный бизнес в цифровой экономике;26\7800\1 Таш ИН ДОГ очн Международный бизнес в цифровой экономике, ДОГ;5.38.03.01;экфак
23219;8234 - Международный бизнес в цифровой экономике;26\7800\1 Таш ДОГ очн Международный бизнес в цифровой экономике, ДОГ;5.38.03.01;экфак
23222;8203 - Программирование и информационные технологии;26\7802\1 Таш ИН ДОГ-УзБ очн Программирование и информационные технологии, ДОГ;1.02.03.02;пмпу
23223;8203 - Программирование и информационные технологии;26\7802\1 Таш ИН ДОГ очн Программирование и информационные технологии, ДОГ;1.02.03.02;пмпу
23230;8203 - Программирование и информационные технологии;26\7802\1 Таш ДОГ очн Программирование и информационные технологии, ДОГ;1.02.03.02;пмпу
23587;8300 - Художник кино и телевидения (с дополнительными квалификациями «Учитель рисования» / «Педагог дополнительного образования»);26\5367\1 ИН ДОГ очн Художник кино и телевидения, ДОГ;8.54.05.02;фи
23588;8287 - Физическая реабилитация;26\5354\1 ДОГ очн Физическая реабилитация, ДОГ;7.49.03.02;фк
24049;8301 - Арабская филология (с дополнительной квалификацией «Специалист в области перевода»);26\5261\1 ДОГ очн Арабская филология, ДОГ;5.58.03.01;восток
24050;8301 - Арабская филология (с дополнительной квалификацией «Специалист в области перевода»);26\5261\1 ГБ очн Арабская филология, Б;5.58.03.01;восток
24051;8303 - Гебраистика (с дополнительной квалификацией «Специалист в области перевода»);26\5262\1 ГБ очн Гебраистика, Б;5.58.03.01;восток
24052;8301 - Арабская филология (с дополнительной квалификацией «Специалист в области перевода»);26\5261\1 ИН ДОГ очн Арабская филология, ДОГ;5.58.03.01;восток
24053;8303 - Гебраистика (с дополнительной квалификацией «Специалист в области перевода»);26\5262\1 ГБ очн Гебраистика, ОсК;5.58.03.01;восток
24054;8314 - Тюркская филология (с дополнительной квалификацией «Специалист в области перевода»);26\5265\1 ГБ очн Тюркская филология, Б;5.58.03.01;восток
24055;8306 - Иранская филология (с дополнительной квалификацией «Специалист в области перевода»);26\5263\1 ДОГ очн Иранская филология, ДОГ;5.58.03.01;восток
24056;8303 - Гебраистика (с дополнительной квалификацией «Специалист в области перевода»);26\5262\1 ДОГ очн Гебраистика, ДОГ;5.58.03.01;восток
24057;8303 - Гебраистика (с дополнительной квалификацией «Специалист в области перевода»);26\5262\1 ИН ДОГ очн Гебраистика, ДОГ;5.58.03.01;восток
24058;8306 - Иранская филология (с дополнительной квалификацией «Специалист в области перевода»);26\5263\1 ГБ очн Иранская филология, Б;5.58.03.01;восток
24059;8306 - Иранская филология (с дополнительной квалификацией «Специалист в области перевода»);26\5263\1 ИН ДОГ очн Иранская филология, ДОГ;5.58.03.01;восток
24060;8314 - Тюркская филология (с дополнительной квалификацией «Специалист в области перевода»);26\5265\1 ИН ДОГ очн Тюркская филология, ДОГ;5.58.03.01;восток
24061;8302 - Вьетнамская филология (с дополнительной квалификацией «Специалист в области перевода»);26\5288\1 ДОГ очн Вьетнамская филология, ДОГ;5.58.03.01;восток
24062;8309 - История Китая (с дополнительной квалификацией «Специалист в области перевода»);26\5270\1 ИН ДОГ очн История Китая, ДОГ;5.58.03.01;восток
24063;8305 - Индонезийско-малайская филология (с дополнительной квалификацией «Специалист в области перевода»);26\5268\1 ДОГ очн Индонезийско-малайская филология, ДОГ;5.58.03.01;восток
24064;8305 - Индонезийско-малайская филология (с дополнительной квалификацией «Специалист в области перевода»);26\5268\1 ИН ДОГ очн Индонезийско-малайская филология, ДОГ;5.58.03.01;восток
24065;8310 - История Кореи (с дополнительной квалификацией «Специалист в области перевода»);26\5271\1 ДОГ очн История Кореи, ДОГ;5.58.03.01;восток
24066;8310 - История Кореи (с дополнительной квалификацией «Специалист в области перевода»);26\5271\1 ГБ очн История Кореи, Б;5.58.03.01;восток
24067;8312 - История Японии (с дополнительной квалификацией «Специалист в области перевода»);26\5272\1 ДОГ очн История Японии, ДОГ;5.58.03.01;восток
24068;8314 - Тюркская филология (с дополнительной квалификацией «Специалист в области перевода»);26\5265\1 ДОГ очн Тюркская филология, ДОГ;5.58.03.01;восток
24069;8310 - История Кореи (с дополнительной квалификацией «Специалист в области перевода»);26\5271\1 ИН ДОГ очн История Кореи, ДОГ;5.58.03.01;восток
24070;8305 - Индонезийско-малайская филология (с дополнительной квалификацией «Специалист в области перевода»);26\5268\1 ГБ очн Индонезийско-малайская филология, ОсК;5.58.03.01;восток
24071;8309 - История Китая (с дополнительной квалификацией «Специалист в области перевода»);26\5270\1 ГБ очн История Китая, Б;5.58.03.01;восток
24072;8309 - История Китая (с дополнительной квалификацией «Специалист в области перевода»);26\5270\1 ДОГ очн История Китая, ДОГ;5.58.03.01;восток
24073;8302 - Вьетнамская филология (с дополнительной квалификацией «Специалист в области перевода»);26\5288\1 ГБ очн Вьетнамская филология, ОсК;5.58.03.01;восток
24074;8312 - История Японии (с дополнительной квалификацией «Специалист в области перевода»);26\5272\1 ГБ очн История Японии, Б;5.58.03.01;восток
24075;8312 - История Японии (с дополнительной квалификацией «Специалист в области перевода»);26\5272\1 ИН ДОГ очн История Японии, ДОГ;5.58.03.01;восток
24076;8302 - Вьетнамская филология (с дополнительной квалификацией «Специалист в области перевода»);26\5288\1 ГБ очн Вьетнамская филология, Б;5.58.03.01;восток
24077;8305 - Индонезийско-малайская филология (с дополнительной квалификацией «Специалист в области перевода»);26\5268\1 ГБ очн Индонезийско-малайская филология, Б;5.58.03.01;восток
24078;8307 - История Индии (с дополнительной квалификацией «Специалист в области перевода»);26\5320\1 ГБ очн История Индии, ОсК;5.58.03.01;восток
24079;8308 - История Кавказа (Азербайджан) (с дополнительной квалификацией «Специалист в области перевода»);26\5314\1 ГБ очн История Кавказа (Азербайджан), ОсК;5.58.03.01;восток
24080;8307 - История Индии (с дополнительной квалификацией «Специалист в области перевода»);26\5320\1 ДОГ очн История Индии, ДОГ;5.58.03.01;восток
24081;8311 - История Таиланда (с дополнительной квалификацией «Специалист в области перевода»);26\5328\1 ИН ДОГ очн История Таиланда, ДОГ;5.58.03.01;восток
24082;8313 - Тибетская филология (с дополнительной квалификацией «Специалист в области перевода»);26\5357\1 ГБ очн Тибетская филология, ОсК;5.58.03.01;восток
24083;8313 - Тибетская филология (с дополнительной квалификацией «Специалист в области перевода»);26\5357\1 ДОГ очн Тибетская филология, ДОГ;5.58.03.01;восток
24084;8302 - Вьетнамская филология (с дополнительной квалификацией «Специалист в области перевода»);26\5288\1 ИН ДОГ очн Вьетнамская филология, ДОГ;5.58.03.01;восток
