Id конкурса;Обр. программы;Комментарий к конкурсу;Код НПС/УГСН;НПС/УГСН
22445;8255 - Журналистика (с дополнительной квалификацией «Специалист по информационным ресурсам»);26\5307\1 ИН ДОГ очн Журналистика, ДОГ;5.42.03.02;журфак
22446;8254 - Реклама и связи с общественностью (с дополнительной квалификацией «Специалист по продвижению и распространению продукции средств массовой информации»);26\5309\1 ИН ДОГ очн Реклама и связи с общественностью, ДОГ;5.42.03.01;журфак
22447;8256 - Международная журналистика (с дополнительной квалификацией «Графический дизайнер»);26\5308\1 ГБ очн Международная журналистика, Б;5.42.03.02;журфак
22448;8254 - Реклама и связи с общественностью (с дополнительной квалификацией «Специалист по продвижению и распространению продукции средств массовой информации»);26\5309\1 ГБ очн Реклама и связи с общественностью, Б;5.42.03.01;журфак
22449;8256 - Международная журналистика (с дополнительной квалификацией «Графический дизайнер»);26\5308\1 ГБ очн Международная журналистика, ОтК;5.42.03.02;журфак
22450;8239 - Менеджмент (с дополнительной квалификацией «Бизнес-аналитик»);26\5310\1 ИН ДОГ очн Менеджмент, ДОГ;5.38.03.02;вшм
22451;8254 - Реклама и связи с общественностью (с дополнительной квалификацией «Специалист по продвижению и распространению продукции средств массовой информации»);26\5309\1 ГБ очн Реклама и связи с общественностью, ОсК;5.42.03.01;журфак
22452;8290 - Культурология (с дополнительными квалификациями «Учитель обществознания» / «Педагог дополнительного образования»);26\5323\1 ИН ДОГ очн Культурология, ДОГ;8.51.03.01;философ
22453;8279 - Археология (с дополнительными квалификациями «Учитель истории и обществознания» / «Хранитель музейных ценностей» / «Специалист по учету музейных предметов»);26\5315\1 ГБ очн Археология, Б;7.46.03.01;истфак
22454;8280 - Всеобщая история (с дополнительными квалификациями «Учитель истории и обществознания» / «Педагог дополнительного образования»);26\5313\1 ИН ДОГ очн Всеобщая история, ДОГ;7.46.03.01;истфак
22455;8289 - Теория и история искусств (с дополнительной квалификацией «Экскурсовод (гид)»);26\5316\1 ГБ очн Теория и история искусств, ОтК;8.50.03.03;истфак
22456;8281 - История России (с дополнительными квалификациями «Учитель истории и обществознания» / «Педагог дополнительного образования»);26\5312\1 ГБ очн История России, ОсК;7.46.03.01;истфак
22457;8291 - Музеология и охрана объектов культурного и природного наследия (с дополнительной квалификацией «Экскурсовод (гид)»);26\5324\1 ДОГ очн Музеология и охрана объектов культурного и природного наследия, ДОГ;8.51.03.04;философ
22458;8210 - Химия (с дополнительными квалификациями «Специалист в области перевода научно-технической литературы» / «Учитель химии»);26\5325\1 ГБ очн Химия, ОсК;1.04.03.01;химфак
22459;8211 - Химическое материаловедение (с дополнительной квалификацией «Специалист в области перевода научно-технической литературы»);26\5326\1 ИН ДОГ очн Химическое материаловедение, ДОГ;1.04.03.02;химфак
22460;8194 - Прикладная математика, процессы управления и искусственный интеллект (с дополнительной квалификацией «Программист»);26\5329\1 ГБ очн Прикладная математика, процессы управления и искусственный интеллект, ОтК;1.01.03.02;пмпу
22461;8282 - Философия (с дополнительными квалификациями «Учитель обществознания» / «Педагог дополнительного образования»);26\5321\1 ГБ очн Философия, ОсК;7.47.03.01;философ
22462;8211 - Химическое материаловедение (с дополнительной квалификацией «Специалист в области перевода научно-технической литературы»);26\5326\1 ГБ очн Химическое материаловедение, ОсК;1.04.03.02;химфак
22463;8279 - Археология (с дополнительными квалификациями «Учитель истории и обществознания» / «Хранитель музейных ценностей» / «Специалист по учету музейных предметов»);26\5315\1 ГБ очн Археология, ОсК;7.46.03.01;истфак
22464;8282 - Философия (с дополнительными квалификациями «Учитель обществознания» / «Педагог дополнительного образования»);26\5321\1 ДОГ очн Философия, ДОГ;7.47.03.01;философ
22465;8289 - Теория и история искусств (с дополнительной квалификацией «Экскурсовод (гид)»);26\5316\1 ИН ДОГ очн Теория и история искусств, ДОГ;8.50.03.03;истфак
22466;8289 - Теория и история искусств (с дополнительной квалификацией «Экскурсовод (гид)»);26\5316\1 ДОГ очн Теория и история искусств, ДОГ;8.50.03.03;истфак
22467;8194 - Прикладная математика, процессы управления и искусственный интеллект (с дополнительной квалификацией «Программист»);26\5329\1 ГБ очн Прикладная математика, процессы управления и искусственный интеллект, ОсК;1.01.03.02;пмпу
22468;8280 - Всеобщая история (с дополнительными квалификациями «Учитель истории и обществознания» / «Педагог дополнительного образования»);26\5313\1 ДОГ очн Всеобщая история, ДОГ;7.46.03.01;истфак
22469;8279 - Археология (с дополнительными квалификациями «Учитель истории и обществознания» / «Хранитель музейных ценностей» / «Специалист по учету музейных предметов»);26\5315\1 ДОГ очн Археология, ДОГ;7.46.03.01;истфак
