"Id конкурса";"Обр. программы";"Комментарий к конкурсу";"Код НПС/УГСН";"Доп.параметры"
106178;"52642 - Медиакоммуникации (с дополнительной квалификацией «Специалист по продвижению и распространению продукции средств массовой информации»)";"25\6062\1 ИН ДОГ очн_Медиакоммуникации (с дополнительной квалификацией «Специалист по продвижению и распространению продукции средств массовой информа";"5.42.04.01";"журнал"
106179;"52484 - Связи с общественностью в сфере международных отношений";"25\5568\1 ИН ДОГ очн_Связи с общественностью в сфере международных отношений";"5.41.04.05";"межнар"
106180;"52583 - Юридический перевод (с дополнительной квалификацией «Переводчик в сфере профессиональной коммуникации»)";"25\5951\1 ДОГ очн_Юридический перевод (с дополнительной квалификацией ""Переводчик в сфере профессиональной коммуникации"")";"7.45.04.02";"филфак"
106181;"52533 - Прикладная политология и этнополитические процессы в современном мире";"25\5825\1 ДОГ очн_Прикладная политология и этнополитические процессы в современном мире";"5.41.04.04";"полит"
106182;"52545 - Аксиология русской культуры";"25\5865\1 ИН ДОГ очн_Аксиология русской культуры";"8.51.04.01";"философия"
106183;"52620 - Цифровые технологии в химии (с дополнительной квалификацией «Специалист по тестированию в области информационных технологий»)";"25\6038\1 ДОГ очн_Цифровые технологии в химии (с дополнительной квалификацией «Специалист по тестированию в области информационных технологий»)";"2.09.04.03";
106184;"52572 - Византийская и новогреческая филология (с дополнительной квалификацией «Педагог дополнительного образования»)";"25\5938\1 ДОГ очн_Византийская и новогреческая филология (с дополнительной квалификацией «Педагог дополнительного образования»)";"7.45.04.01";"филфак"
106185;"52558 - Управление на основе данных (в онлайн-формате)";"25\5900\1 ДОГ оз_Управление на основе данных (в онлайн-формате)";"5.38.04.01";"экфак"
106186;"52665 - Музыкальная критика (с дополнительной квалификацией «Педагог дополнительного образования»)";"25\6090\1 ДОГ очн_Музыкальная критика (с дополнительной квалификацией «Педагог дополнительного образования»)";"8.50.04.01";"фсиин"
106187;"52501 - Менеджмент туристских дестинаций";"25\5696\1 ИН ДОГ очн_Менеджмент туристских дестинаций";"5.43.04.02";"иноз"
106188;"52520 - Genius: педагог для талантливых школьников";"25\5792\1 ДОГ оз_Genius: педагог для талантливых школьников";"6.44.04.01";"пед"
106190;"52664 - Психология образования (с дополнительной квалификацией «Педагог-психолог»)";"25\6089\1 ДОГ очн_Психология образования (с дополнительной квалификацией «Педагог-психолог»)";"5.37.04.01";"психфак"
106191;"52534 - Распределенные вычислительные технологии";"25\5827\1 ДОГ очн_Распределенные вычислительные технологии";"1.02.04.02";"пмпу"
106192;"52505 - Исследования БРИКС";"25\5709\1 ИН ДОГ очн_Исследования БРИКС";"5.41.04.05";"межнар"
106193;"52566 - Физическая культура и спорт";"25\5930\1 ИН ДОГ очн_Физическая культура и спорт";"7.49.04.01";"физич"
106194;"52517 - Бизнес-аналитика и большие данные (Master in Business Analytics and Big Data - MiBA)";"25\5783\1 ИН ДОГ очн_Бизнес-аналитика и большие данные (Master in Business Analytics and Big Data - MiBA)";"5.38.04.02";"менедж"
106195;"52573 - Классическая филология и античная традиция в мировой культуре (с дополнительной квалификацией «Педагог дополнительного образования»)";"25\5939\1 ДОГ очн_Классическая филология и античная традиция в мировой культуре (с дополнительной квалификацией «Педагог дополнительного образования»)";"7.45.04.01";"филфак"
106196;"52510 - Современный Китай: экономика, политика, общество (с изучением китайского языка)";"25\7803\1 Филиал ИН ДОГ-УзБ очн_Современный Китай: экономика, политика, общество (с изучением китайского языка)";"5.58.04.01";
106197;"52626 - Реставрация предметов изобразительного и декоративно-прикладного искусства (с дополнительной квалификацией «Педагог дополнительного образования»)";"25\6045\1 ДОГ очн_Реставрация предметов изобразительного и декоративно-прикладного искусства (с дополнительной квалификацией «Педагог дополнительного ";"8.54.04.04";"фи"
106198;"52664 - Психология образования (с дополнительной квалификацией «Педагог-психолог»)";"25\6089\1 ИН ДОГ очн_Психология образования (с дополнительной квалификацией «Педагог-психолог»)";"5.37.04.01";"психфак"
106199;"52535 - Структурная минералогия и материаловедение";"25\5833\1 ИН ДОГ очн_Структурная минералогия и материаловедение";"1.05.04.01";"иноз"
106200;"52574 - Литература и культура народов зарубежных стран (с дополнительной квалификацией «Педагог дополнительного образования»)";"25\5940\1 ДОГ очн_Литература и культура народов зарубежных стран (с дополнительной квалификацией «Педагог дополнительного образования»)";"7.45.04.01";"филфак"
106201;"52655 - Христианская теология (с дополнительными квалификациями «Специалист в сфере национальных и религиозных отношений» / «Учитель обществознания»)";"25\6076\1 ИН ДОГ очн_Христианская теология (с дополнительными квалификациями «Специалист в сфере национальных и религиозных отношений» / «Учитель обще";"7.48.04.01";"тео"
